Year,Area,ANZSIC06,Measure,Value,Flags
"2018","Canterbury Region","D28 Water Supply, Sewerage and Drainage Services","Employee Count",95,
"2018","Canterbury Region","D29 Waste Collection, Treatment and Disposal Services","Geographic Units",165,
"2018","Canterbury Region","D29 Waste Collection, Treatment and Disposal Services","Employee Count",930,
"2018","Canterbury Region","E30  Building Construction","Geographic Units",3147,
"2018","Canterbury Region","E30  Building Construction","Employee Count",8400,
"2018","Canterbury Region","E31 Heavy and Civil Engineering Construction","Geographic Units",324,
"2018","Canterbury Region","E31 Heavy and Civil Engineering Construction","Employee Count",6200,
"2018","Canterbury Region","E32 Construction Services","Geographic Units",5505,
"2018","Canterbury Region","E32 Construction Services","Employee Count",16300,
"2018","Canterbury Region","F33 Basic Material Wholesaling","Geographic Units",663,
"2018","Canterbury Region","F33 Basic Material Wholesaling","Employee Count",3800,
"2018","Canterbury Region","F34 Machinery and Equipment Wholesaling","Geographic Units",645,
"2018","Canterbury Region","F34 Machinery and Equipment Wholesaling","Employee Count",3850,
"2018","Canterbury Region","F35 Motor Vehicle and Motor Vehicle Parts Wholesaling","Geographic Units",273,
"2018","Canterbury Region","F35 Motor Vehicle and Motor Vehicle Parts Wholesaling","Employee Count",1100,
"2018","Canterbury Region","F36 Grocery, Liquor and Tobacco Product Wholesaling","Geographic Units",312,
